timestamp,dominant_emotion,happy,angry,sad,neutral
0.0,sad,0.0006188528,0.01414946,0.95278186,0.03244987
1.0,sad,6.724738e-08,0.0016198141,0.99647087,0.0019092497
2.0,sad,0.000120542085,0.0012167055,0.99790764,0.0007550669
3.0,sad,0.002317039,0.07270574,0.7282872,0.19669004
4.0,neutral,0.0008170868,0.013563512,0.07966306,0.9059563
5.0,happy,0.9028111,8.42326e-05,0.085883915,0.011220666
6.0,sad,1.8240211e-06,0.0012398475,0.9893993,0.009358991
7.0,sad,0.008008052,0.050815765,0.93537474,0.0058013857
8.0,sad,0.055677194,0.047864243,0.6990169,0.19744162
9.0,sad,0.004051799,0.116612576,0.8445298,0.034805812
10.0,sad,0.00024381465,5.673511e-06,0.8396832,0.16006735
11.0,neutral,0.017297495,0.00012973286,0.40795133,0.57462144
12.0,sad,0.15816155,0.0008379276,0.8405658,0.0004347055
13.0,sad,5.0144718e-05,0.0019281635,0.9353415,0.06268024
14.0,sad,0.01510223,0.010836351,0.7715247,0.20253672
15.0,sad,0.4836806,0.0019683882,0.51433736,1.3564414e-05
16.0,neutral,0.010308533,0.04113963,0.41745582,0.531096
17.0,sad,0.0001450586,0.0051879394,0.7586984,0.23596853
18.0,happy,0.80987304,0.00012992696,0.002479563,0.1875175
19.0,sad,0.020236958,0.02283021,0.6603963,0.2965366
20.0,sad,0.0022457275,0.014256359,0.8505053,0.13299263
21.0,sad,0.002177027,0.011018616,0.9760377,0.010766659
22.0,sad,0.000120130375,0.016579624,0.682227,0.3010732
23.0,sad,0.0030435568,0.039503008,0.5189943,0.43845913
24.0,sad,0.0003828075,0.021191081,0.8559765,0.12244963
25.0,neutral,0.03362489,0.03914183,0.34622243,0.5810109
26.0,sad,0.016441843,0.06356289,0.8567505,0.06324477
27.0,happy,0.96918815,1.6162404e-06,1.8264276e-05,0.030792046
28.0,neutral,0.063143656,0.048622977,0.25605166,0.6321817
29.0,sad,0.0006752942,0.003569443,0.66645944,0.32929584
30.0,sad,0.0007162574,0.0031488093,0.99253726,0.0035977035
31.0,sad,0.0062789274,0.0051494543,0.98493105,0.0036406124
32.0,sad,0.00082717545,0.025529329,0.9393293,0.03431418
33.0,sad,0.046805486,0.019217273,0.581862,0.3521152
34.0,sad,1.4024854e-05,4.267124e-05,0.8364955,0.1634478
35.0,sad,5.434798e-07,5.239383e-07,0.8610591,0.13893984
36.0,sad,1.4325757e-05,0.012870538,0.96838015,0.018734936
37.0,happy,0.9787617,5.48252e-08,6.8492304e-06,0.021231376
38.0,happy,0.9990482,5.0242174e-06,0.0009137403,3.304752e-05
39.0,sad,0.04105944,0.010834236,0.5501919,0.39791444
40.0,sad,0.0048746504,0.017835792,0.971418,0.0058715562
41.0,sad,0.0031304492,0.026385732,0.9616503,0.008833451
42.0,sad,0.0006868047,0.053616423,0.92624646,0.019450305
43.0,neutral,6.7017476e-07,9.6292885e-09,0.23827173,0.7617276
44.0,sad,1.7085648e-10,1.4678413e-08,0.9983858,0.0016142338
45.0,happy,0.96562856,7.40443e-05,0.0014377341,0.032859553
46.0,happy,0.9422187,1.6456816e-06,0.00058931776,0.057190355
47.0,neutral,0.028640177,0.024144327,0.19208555,0.75512993
48.0,sad,0.0539672,0.07122215,0.78106636,0.09374431
49.0,angry,0.00011617992,0.6284734,0.34640092,0.025009496
